Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,19.779285,19.821428,19.343929,19.608213,16.890802,560518000
2013-01-03,19.567142,19.631071,19.321428,19.360714,16.677597,352965200
2013-01-04,19.177500,19.236786,18.779642,18.821428,16.213051,594333600
2013-01-07,18.642857,18.903570,18.400000,18.710714,16.117678,484156400
2013-01-08,18.900356,18.996071,18.616072,18.761070,16.161055,458707200
2013-01-09,18.660713,18.750357,18.428213,18.467857,15.908480,407604400
2013-01-10,18.876785,18.882856,18.411428,18.696787,16.105679,601146000
2013-01-11,18.607143,18.761429,18.536428,18.582144,16.006924,350506800
2013-01-14,17.952856,18.125000,17.803928,17.919643,15.436236,734207600
2013-01-15,17.796429,17.821072,17.263571,17.354286,14.949229,876772400
2013-01-16,17.665714,18.194286,17.589287,18.074642,15.569758,690804800
2013-01-17,18.225357,18.241072,17.929644,17.952856,15.464846,453678400
2013-01-18,17.804285,17.936428,17.728571,17.857143,15.382402,472922800
2013-01-22,18.020000,18.138571,17.736786,18.027500,15.529145,461546400
2013-01-23,18.171785,18.392500,18.027500,18.357500,15.813417,861509600
2013-01-24,16.428572,16.633215,16.080357,16.089287,13.859543,1460852400
2013-01-25,16.131786,16.293928,15.535714,15.710000,13.532819,1208026400
2013-01-28,15.636786,16.186071,15.566429,16.065357,13.838927,785517600
2013-01-29,16.375000,16.435715,16.147142,16.366785,14.098586,571158000
2013-01-30,16.321428,16.521429,16.232143,16.315357,14.054280,417155200
2013-01-31,16.320715,16.402857,16.249287,16.267500,14.013059,319334400
2013-02-01,16.396786,16.410000,16.012501,16.200714,13.955530,539484400
2013-02-04,16.211071,16.283571,15.785714,15.797143,13.607884,477117200
2013-02-05,15.858929,16.419287,15.793571,16.351429,14.085359,573347600
2013-02-06,16.302500,16.660713,16.163570,16.333929,14.070281,593706400
2013-02-07,16.544643,16.785713,16.218571,16.722143,14.488646,704580800
2013-02-08,16.928572,17.100357,16.723213,16.963572,14.697826,633158400
2013-02-11,17.017857,17.319286,16.901787,17.140356,14.851003,517490400
2013-02-12,17.125357,17.227858,16.705000,16.710714,14.478745,609053200
2013-02-13,16.686071,16.915714,16.543571,16.678928,14.451199,475207600
2013-02-14,16.590000,16.844286,16.572144,16.663929,14.438207,355275200
2013-02-15,16.744642,16.791430,16.425714,16.434286,14.239236,391745200
2013-02-19,16.467857,16.526072,16.208929,16.428213,14.233978,435783600
2013-02-20,16.346071,16.346071,16.028570,16.030357,13.889259,476302400
2013-02-21,15.928571,16.041786,15.815000,15.930714,13.802923,447182400
2013-02-22,16.044643,16.128571,15.950000,16.100357,13.949910,330654800
2013-02-25,16.208929,16.254286,15.806071,15.814286,13.702048,372579200
2013-02-26,15.850714,16.126429,15.630714,16.034643,13.892971,501499600
2013-02-27,16.015356,16.158571,15.737500,15.877500,13.756818,587350400
2013-02-28,15.858929,15.995357,15.764286,15.764286,13.658727,322515200
2013-03-01,15.642857,15.649286,15.356429,15.373929,13.320507,552448400
2013-03-04,15.278571,15.292857,14.964286,15.001786,12.998070,582755600
2013-03-05,15.052857,15.542500,15.026786,15.397857,13.341237,638433600
2013-03-06,15.518214,15.544643,15.158214,15.202143,13.171663,460250000
2013-03-07,15.160714,15.428929,15.037857,15.377857,13.323914,468473600
2013-03-08,15.350000,15.551071,15.307500,15.418571,13.359187,391482000
2013-03-11,15.348214,15.678929,15.183571,15.638214,13.549493,474236000
2013-03-12,15.557143,15.674286,15.270357,15.301071,13.257380,465911600
2013-03-13,15.301786,15.517857,15.191429,15.298214,13.254907,405549200
2013-03-14,15.458214,15.522857,15.373214,15.446429,13.383325,303875600
2013-03-15,15.640357,15.865357,15.616071,15.845000,13.728659,643960800
2013-03-18,15.766071,16.337856,15.757143,16.275715,14.101844,606197200
